text,label
"adquiri mercado por R$ 3.322,00",alimentação
"efetuei compra de restaurante no valor de R$ 1.824,00",alimentação
"realizei pagamento de R$ 3.456,00 em restaurante",alimentação
"adquiri café por R$ 8.890,00",alimentação
"investi R$ 4.860,00 em mercado",alimentação
"efetuei compra de feira no valor de R$ 5.529,00",alimentação
"investi R$ 318,00 em lanche",alimentação
"adquiri restaurante por R$ 3.663,00",alimentação
"comprei R$ 5.546,00 de padaria",alimentação
"paguei R$ 5.546,00 em feira",alimentação
"gastei R$ 6.895,00 com almoço",alimentação
"adquiri restaurante por R$ 1.319,00",alimentação
"adquiri padaria por R$ 1.958,00",alimentação
"paguei R$ 526,00 em almoço",alimentação
"gastei R$ 652,00 com feira",alimentação
"paguei R$ 1.980,00 em feira",alimentação
"gastei R$ 4.351,00 com mercado",alimentação
"paguei R$ 4.889,00 por supermercado",alimentação
"investi R$ 7.229,00 em feira",alimentação
"paguei R$ 3.845,00 por supermercado",alimentação
"adquiri comida por R$ 438,00",alimentação
"fiz compra de mercado por R$ 1.809,00",alimentação
"paguei R$ 971,00 por café",alimentação
"fiz compra de restaurante por R$ 9.538,00",alimentação
"realizei pagamento de R$ 5.062,00 em restaurante",alimentação
"comprei R$ 3.923,00 de almoço",alimentação
"adquiri supermercado por R$ 5.615,00",alimentação
"efetuei compra de feira no valor de R$ 3.897,00",alimentação
"fiz compra de restaurante por R$ 5.407,00",alimentação
"adquiri almoço por R$ 376,00",alimentação
"comprei R$ 7.122,00 de padaria",alimentação
"realizei pagamento de R$ 6.115,00 em padaria",alimentação
"fiz compra de café por R$ 6.477,00",alimentação
"investi R$ 61,00 em jantar",alimentação
"paguei R$ 1.190,00 por café",alimentação
"adquiri comida por R$ 546,00",alimentação
"investi R$ 4.615,00 em mercado",alimentação
"efetuei compra de feira no valor de R$ 156,00",alimentação
"comprei R$ 6.944,00 de comida",alimentação
"realizei pagamento de R$ 1.745,00 em almoço",alimentação
"investi R$ 9.696,00 em supermercado",alimentação
"paguei R$ 6.242,00 por restaurante",alimentação
"comprei R$ 6.797,00 de almoço",alimentação
"adquiri jantar por R$ 119,00",alimentação
"gastei R$ 3.091,00 com padaria",alimentação
"paguei R$ 6.227,00 por padaria",alimentação
"comprei R$ 2.674,00 de café",alimentação
"adquiri jantar por R$ 2.877,00",alimentação
"investi R$ 3.519,00 em mercado",alimentação
"adquiri lanche por R$ 8.697,00",alimentação
"paguei R$ 9.468,00 por restaurante",alimentação
"paguei R$ 6.257,00 em comida",alimentação
"realizei pagamento de R$ 8.910,00 em feira",alimentação
"fiz compra de almoço por R$ 8.068,00",alimentação
"realizei pagamento de R$ 7.871,00 em café",alimentação
"paguei R$ 5.561,00 por feira",alimentação
"efetuei compra de lanche no valor de R$ 69,00",alimentação
"paguei R$ 519,00 por almoço",alimentação
"paguei R$ 1.273,00 em supermercado",alimentação
